seccion,entidad,nom_entidad,dttofed,nom_dttofed,dttoloc,nom_dttoloc,mpio,nom_mpio,tipo,ln,zmvm,tipo_seccion2016,estrato6,nom_estrato6
1081,15,Mexico,1,JILOTEPEC,14,JILOTEPEC,27,CHAPA DE MOTA,3,2118,0,NO URBANO,1,COALICION_PANNO URBANO
1082,15,Mexico,1,JILOTEPEC,14,JILOTEPEC,27,CHAPA DE MOTA,4,1179,0,NO URBANO,1,COALICION_PANNO URBANO
1083,15,Mexico,1,JILOTEPEC,14,JILOTEPEC,27,CHAPA DE MOTA,4,1019,0,NO URBANO,1,COALICION_PANNO URBANO
1084,15,Mexico,1,JILOTEPEC,14,JILOTEPEC,27,CHAPA DE MOTA,4,2103,0,NO URBANO,1,COALICION_PANNO URBANO
1085,15,Mexico,1,JILOTEPEC,14,JILOTEPEC,27,CHAPA DE MOTA,4,3651,0,NO URBANO,1,COALICION_PANNO URBANO
1086,15,Mexico,1,JILOTEPEC,14,JILOTEPEC,27,CHAPA DE MOTA,4,1500,0,NO URBANO,1,COALICION_PANNO URBANO
1087,15,Mexico,1,JILOTEPEC,14,JILOTEPEC,27,CHAPA DE MOTA,4,1949,0,NO URBANO,1,COALICION_PANNO URBANO
1088,15,Mexico,1,JILOTEPEC,14,JILOTEPEC,27,CHAPA DE MOTA,4,1062,0,NO URBANO,1,COALICION_PANNO URBANO
1089,15,Mexico,1,JILOTEPEC,14,JILOTEPEC,27,CHAPA DE MOTA,4,1013,0,NO URBANO,1,COALICION_PANNO URBANO
1090,15,Mexico,1,JILOTEPEC,14,JILOTEPEC,27,CHAPA DE MOTA,4,1276,0,NO URBANO,1,COALICION_PANNO URBANO
1091,15,Mexico,1,JILOTEPEC,14,JILOTEPEC,27,CHAPA DE MOTA,4,789,0,NO URBANO,1,COALICION_PANNO URBANO
1092,15,Mexico,1,JILOTEPEC,14,JILOTEPEC,27,CHAPA DE MOTA,4,1025,0,NO URBANO,1,COALICION_PANNO URBANO
1093,15,Mexico,1,JILOTEPEC,14,JILOTEPEC,27,CHAPA DE MOTA,4,741,0,NO URBANO,1,COALICION_PANNO URBANO
1094,15,Mexico,1,JILOTEPEC,14,JILOTEPEC,27,CHAPA DE MOTA,4,234,0,NO URBANO,1,COALICION_PANNO URBANO
2183,15,Mexico,23,VALLE DE BRAVO,11,SANTO TOMAS,42,IXTAPAN DEL ORO,3,1060,0,NO URBANO,1,COALICION_PANNO URBANO
2184,15,Mexico,23,VALLE DE BRAVO,11,SANTO TOMAS,42,IXTAPAN DEL ORO,4,1471,0,NO URBANO,1,COALICION_PANNO URBANO
2185,15,Mexico,23,VALLE DE BRAVO,11,SANTO TOMAS,42,IXTAPAN DEL ORO,4,656,0,NO URBANO,1,COALICION_PANNO URBANO
2186,15,Mexico,23,VALLE DE BRAVO,11,SANTO TOMAS,42,IXTAPAN DEL ORO,4,583,0,NO URBANO,1,COALICION_PANNO URBANO
2187,15,Mexico,23,VALLE DE BRAVO,11,SANTO TOMAS,42,IXTAPAN DEL ORO,4,1132,0,NO URBANO,1,COALICION_PANNO URBANO
2237,15,Mexico,35,TENANCINGO,6,TIANGUISTENGO,44,JALATLACO,3,3518,0,NO URBANO,1,COALICION_PANNO URBANO
2238,15,Mexico,35,TENANCINGO,6,TIANGUISTENGO,44,JALATLACO,3,3191,0,NO URBANO,1,COALICION_PANNO URBANO
2239,15,Mexico,35,TENANCINGO,6,TIANGUISTENGO,44,JALATLACO,3,3668,0,NO URBANO,1,COALICION_PANNO URBANO
2240,15,Mexico,35,TENANCINGO,6,TIANGUISTENGO,44,JALATLACO,4,2366,0,NO URBANO,1,COALICION_PANNO URBANO
2241,15,Mexico,35,TENANCINGO,6,TIANGUISTENGO,44,JALATLACO,4,1390,0,NO URBANO,1,COALICION_PANNO URBANO
2242,15,Mexico,35,TENANCINGO,6,TIANGUISTENGO,44,JALATLACO,4,187,0,NO URBANO,1,COALICION_PANNO URBANO
4159,15,Mexico,1,JILOTEPEC,14,JILOTEPEC,80,SOYANIQUILPAN DE JUARE,4,897,0,NO URBANO,1,COALICION_PANNO URBANO
4160,15,Mexico,1,JILOTEPEC,14,JILOTEPEC,80,SOYANIQUILPAN DE JUARE,4,771,0,NO URBANO,1,COALICION_PANNO URBANO
4161,15,Mexico,1,JILOTEPEC,14,JILOTEPEC,80,SOYANIQUILPAN DE JUARE,4,1391,0,NO URBANO,1,COALICION_PANNO URBANO
4162,15,Mexico,1,JILOTEPEC,14,JILOTEPEC,80,SOYANIQUILPAN DE JUARE,4,1689,0,NO URBANO,1,COALICION_PANNO URBANO
4163,15,Mexico,1,JILOTEPEC,14,JILOTEPEC,80,SOYANIQUILPAN DE JUARE,4,849,0,NO URBANO,1,COALICION_PANNO URBANO
4164,15,Mexico,1,JILOTEPEC,14,JILOTEPEC,80,SOYANIQUILPAN DE JUARE,4,377,0,NO URBANO,1,COALICION_PANNO URBANO
4701,15,Mexico,35,TENANCINGO,6,TIANGUISTENGO,102,TIANGUISTENCO,3,3051,0,NO URBANO,1,COALICION_PANNO URBANO
4706,15,Mexico,35,TENANCINGO,6,TIANGUISTENGO,102,TIANGUISTENCO,3,2226,0,NO URBANO,1,COALICION_PANNO URBANO
4707,15,Mexico,35,TENANCINGO,6,TIANGUISTENGO,102,TIANGUISTENCO,4,1612,0,NO URBANO,1,COALICION_PANNO URBANO
4711,15,Mexico,35,TENANCINGO,6,TIANGUISTENGO,102,TIANGUISTENCO,3,2015,0,NO URBANO,1,COALICION_PANNO URBANO
4713,15,Mexico,35,TENANCINGO,6,TIANGUISTENGO,102,TIANGUISTENCO,4,1175,0,NO URBANO,1,COALICION_PANNO URBANO
4714,15,Mexico,35,TENANCINGO,6,TIANGUISTENGO,102,TIANGUISTENCO,4,1029,0,NO URBANO,1,COALICION_PANNO URBANO
4717,15,Mexico,35,TENANCINGO,6,TIANGUISTENGO,102,TIANGUISTENCO,3,1626,0,NO URBANO,1,COALICION_PANNO URBANO
4720,15,Mexico,35,TENANCINGO,6,TIANGUISTENGO,102,TIANGUISTENCO,3,3245,0,NO URBANO,1,COALICION_PANNO URBANO
4721,15,Mexico,35,TENANCINGO,6,TIANGUISTENGO,102,TIANGUISTENCO,4,1413,0,NO URBANO,1,COALICION_PANNO URBANO
4722,15,Mexico,35,TENANCINGO,6,TIANGUISTENGO,102,TIANGUISTENCO,4,2380,0,NO URBANO,1,COALICION_PANNO URBANO
4723,15,Mexico,35,TENANCINGO,6,TIANGUISTENGO,102,TIANGUISTENCO,4,1493,0,NO URBANO,1,COALICION_PANNO URBANO
4724,15,Mexico,35,TENANCINGO,6,TIANGUISTENGO,102,TIANGUISTENCO,4,1809,0,NO URBANO,1,COALICION_PANNO URBANO
5797,15,Mexico,18,HUIXQUILUCAN,3,TEMOAYA,116,XONACATLAN,3,5107,0,NO URBANO,1,COALICION_PANNO URBANO
5798,15,Mexico,18,HUIXQUILUCAN,3,TEMOAYA,116,XONACATLAN,4,1697,0,NO URBANO,1,COALICION_PANNO URBANO
5799,15,Mexico,18,HUIXQUILUCAN,3,TEMOAYA,116,XONACATLAN,4,2539,0,NO URBANO,1,COALICION_PANNO URBANO
5800,15,Mexico,18,HUIXQUILUCAN,3,TEMOAYA,116,XONACATLAN,4,2621,0,NO URBANO,1,COALICION_PANNO URBANO
5801,15,Mexico,18,HUIXQUILUCAN,3,TEMOAYA,116,XONACATLAN,4,2343,0,NO URBANO,1,COALICION_PANNO URBANO
5804,15,Mexico,18,HUIXQUILUCAN,3,TEMOAYA,116,XONACATLAN,3,2758,0,NO URBANO,1,COALICION_PANNO URBANO
1095,15,Mexico,27,METEPEC,35,METEPEC,28,CHAPULTEPEC,2,5257,0,URBANO,2,COALICION_PANURBANO
1096,15,Mexico,27,METEPEC,35,METEPEC,28,CHAPULTEPEC,2,2239,0,URBANO,2,COALICION_PANURBANO
2236,15,Mexico,35,TENANCINGO,6,TIANGUISTENGO,44,JALATLACO,2,2650,0,URBANO,2,COALICION_PANURBANO
4022,15,Mexico,27,METEPEC,5,TENANGO DEL VALLE,74,SAN ANTONIO LA ISLA,2,7185,0,URBANO,2,COALICION_PANURBANO
