seccion,dominio,ln,pan_pm15,pri_pm15,prd_pm15,pt_pm15,pvem_pm15,mc_pm15,na_pm15,morena_pm15,ph_pm15,pes_pm15,pfd_pm15,pripvemna_pm15,pripvem_pm15,prina_pm15,pvemna_pm15,panpt_pm15,candidatoindependiente_pm15,noregistrados_pm15,nulos_pm15,total_pm15,Nh,pik,estrato.simulacion,ID_unit,Prob,Stratum,fexp,seccion_sustituta
1092,1,1025,380,386,11,5,2,0,4,10,0,0,1,2,3,1,1,11,0,0,18,835,121,0.008264463,1,17,0.033057851,1,30.25,
2064,1,1976,512,430,48,9,10,13,13,52,12,29,1,0,13,0,0,0,0,0,17,1159,121,0.008264463,1,48,0.033057851,1,30.25,
3034,1,3075,343,450,73,23,53,68,37,79,27,33,6,1,3,3,1,0,0,1,48,1249,121,0.008264463,1,78,0.033057851,1,30.25,
4713,1,1175,232,249,20,25,10,0,12,11,16,13,15,2,4,1,0,3,0,0,24,637,121,0.008264463,1,108,0.033057851,1,30.25,
277,1,2277,340,372,40,16,35,21,37,58,0,58,7,3,2,0,1,0,0,0,43,1033,781,0.00128041,2,149,0.030729834,2,32.54166667,
309,1,1052,177,147,29,9,14,5,18,37,0,31,0,0,3,0,0,0,0,1,19,490,781,0.00128041,2,181,0.030729834,2,32.54166667,
342,1,2402,353,312,50,9,19,68,22,85,0,26,4,0,0,0,0,0,0,0,37,985,781,0.00128041,2,214,0.030729834,2,32.54166667,
375,1,1970,246,179,43,26,48,27,28,250,0,69,9,0,4,0,0,0,0,3,80,1012,781,0.00128041,2,247,0.030729834,2,32.54166667,
408,1,2465,372,241,40,17,38,46,29,108,0,70,16,0,2,0,0,0,0,2,47,1028,781,0.00128041,2,279,0.030729834,2,32.54166667,
6402,1,639,75,56,28,2,3,4,6,12,2,14,0,0,1,0,0,0,0,0,4,207,781,0.00128041,2,312,0.030729834,2,32.54166667,
1994,1,1412,341,438,64,5,8,3,10,22,12,24,6,0,3,1,0,0,0,0,23,960,781,0.00128041,2,344,0.030729834,2,32.54166667,
2038,1,1514,407,167,12,3,13,12,10,23,27,9,2,0,1,1,0,0,0,1,59,747,781,0.00128041,2,377,0.030729834,2,32.54166667,
2457,1,2199,212,143,323,3,8,292,25,54,73,0,0,0,0,0,0,1,0,0,26,1160,781,0.00128041,2,409,0.030729834,2,32.54166667,
